! Initial radius: 1.0000E+00 AU
! Number of timesteps:     499
!    Time (yr)         Radius (AU)        v (km/s)         nH (cm-3)           Td (K)           Tg (K)           Avrad (mag)       Avobs (mag)
  -6.604788765E+05   1.000000000E+00   0.000000000E+00   6.957116619E+03   1.289024817E+01   1.289024817E+01   4.134908988E+00   8.279942230E+00
  -6.585131656E+05   1.000000000E+00   0.000000000E+00   6.992891200E+03   1.287826215E+01   1.287826215E+01   4.143020626E+00   8.296211963E+00
  -6.565474547E+05   1.000000000E+00   0.000000000E+00   7.028849740E+03   1.286628386E+01   1.286628386E+01   4.151148176E+00   8.312513666E+00
  -6.545817437E+05   1.000000000E+00   0.000000000E+00   7.064993185E+03   1.285431340E+01   1.285431340E+01   4.159291671E+00   8.328847401E+00
  -6.526160328E+05   1.000000000E+00   0.000000000E+00   7.101322484E+03   1.284235086E+01   1.284235086E+01   4.167451141E+00   8.345213230E+00
  -6.506503218E+05   1.000000000E+00   0.000000000E+00   7.137838595E+03   1.283039634E+01   1.283039634E+01   4.175626618E+00   8.361611218E+00
  -6.486846109E+05   1.000000000E+00   0.000000000E+00   7.174542477E+03   1.281844994E+01   1.281844994E+01   4.183818133E+00   8.378041428E+00
  -6.467188999E+05   1.000000000E+00   0.000000000E+00   7.211435096E+03   1.280651175E+01   1.280651175E+01   4.192025718E+00   8.394503922E+00
  -6.447531890E+05   1.000000000E+00   0.000000000E+00   7.248517423E+03   1.279458187E+01   1.279458187E+01   4.200249404E+00   8.410998764E+00
  -6.427874781E+05   1.000000000E+00   0.000000000E+00   7.285790433E+03   1.278266041E+01   1.278266041E+01   4.208489223E+00   8.427526017E+00
  -6.408217671E+05   1.000000000E+00   0.000000000E+00   7.323255106E+03   1.277074746E+01   1.277074746E+01   4.216745206E+00   8.444085746E+00
  -6.388560562E+05   1.000000000E+00   0.000000000E+00   7.360912429E+03   1.275884312E+01   1.275884312E+01   4.225017386E+00   8.460678015E+00
  -6.368903452E+05   1.000000000E+00   0.000000000E+00   7.398763392E+03   1.274694749E+01   1.274694749E+01   4.233305793E+00   8.477302886E+00
  -6.349246343E+05   1.000000000E+00   0.000000000E+00   7.436808990E+03   1.273506067E+01   1.273506067E+01   4.241610460E+00   8.493960424E+00
  -6.329589234E+05   1.000000000E+00   0.000000000E+00   7.475050225E+03   1.272318276E+01   1.272318276E+01   4.249931418E+00   8.510650694E+00
  -6.309932124E+05   1.000000000E+00   0.000000000E+00   7.513488102E+03   1.271131386E+01   1.271131386E+01   4.258268701E+00   8.527373760E+00
